,nBalls,meanGap,nBins,std
0,10,0.9900000000000001,1000,1.110778552818352e-16
1,100,1.173,1000,0.4457237593730781
2,1000,2.006,1000,0.07726558075864033
3,10000,2.086,1000,0.28050433629924987
4,100000,2.058,1000,0.23386040855752113
5,1000000,2.082,1000,0.2745020060971346
