20417.8, 25256.4, 18363.6, 20609, 23548.8, 23189.2, 23614.5, 23158, 23488.7, 23705.2, 26656.1, 36479.5 
31019.4, 17388.4, 24182.3, 25337, 22935.6, 23982.5, 23606.8, 23696.5, 23062.3, 23426.5, 26457.1, 36584.9 
26350.2, 21857.4, 24820.1, 22835.4, 23433.9, 21286.9, 23623.5, 22480.8, 22787.7, 23773.7, 26475.6, 36528.2 
34424, 27321.8, 19131.6, 23870.7, 21884.4, 23200.4, 23102.6, 22880.1, 22759.3, 23201.4, 26445.3, 36577.5 
17865.6, 20310.4, 21193.6, 21527.5, 22004.6, 21441.6, 22557.9, 22535.7, 22658.6, 23362.8, 26419.3, 36566.8 
18036.8, 19457.1, 17750.5, 22825, 23130.1, 24005, 22907.3, 23478.1, 23218.1, 23333.9, 26408.2, 36535.4 
21181.5, 22553, 22314.5, 22030.9, 23915, 22907.9, 22558.4, 23090.2, 22460.5, 23805.2, 26342.3, 36623.2 
24413.1, 24566.6, 20237.2, 24194, 24015.5, 22764.5, 23409.9, 23513, 22514.8, 23318.1, 26682.6, 36437.3 
21453.2, 27513.6, 23335.1, 25810.5, 24237.2, 21755.6, 22561.7, 22770.3, 23606.6, 23550.8, 26442.7, 36617.5 
21881.9, 31350.5, 27455.4, 25460.5, 24319, 23036, 23050.8, 23316.2, 22932.8, 23223, 26544.2, 36561.1 
14621, 35593.9, 21293.4, 19761.6, 23506.2, 21440, 23588.9, 22397.8, 23065.1, 23300.3, 26463.9, 36508.7 
26258.3, 23364.1, 23994, 21687.3, 20962.1, 24677.7, 22882.1, 22372.3, 23612.5, 23265.7, 26689.4, 36579.9 
32633.1, 24011.7, 17550.8, 19787.8, 23395.7, 22765.4, 21598.4, 22750.5, 23158.8, 22980.8, 26617.9, 36686.7 
34635.2, 25855, 17309.4, 21696.6, 25331.3, 22785.9, 21765.6, 22493.1, 22919, 23305.2, 26396.8, 36559.7 
20679.6, 21456.4, 22630.3, 24732.4, 21556.2, 21949.7, 22306.5, 23185.3, 22947, 23219.4, 26423.8, 36607.5 
18240.8, 23901.3, 24550.4, 22585.4, 23866.8, 22703.5, 22619.3, 23210.3, 22995.1, 23854.1, 26614.9, 36619.9 
21871.3, 28731.5, 21860.9, 22296.2, 23567.1, 22483, 23268.4, 22857.8, 22880.8, 23576.2, 26465.6, 36623.1 
33604.4, 19072.3, 23896.9, 25508.7, 22180.2, 22000.8, 21973.7, 22207.4, 22757, 23137.6, 26473.5, 36566.7 
18152.8, 22985.2, 22215.6, 22649.3, 22844.8, 23913.7, 22564.6, 22668.3, 23247.9, 22849.1, 26496.5, 36617.4 
23820.8, 25033.4, 24602, 25186.6, 24117.3, 22021, 22942.3, 24616.8, 23475.6, 23243.3, 26432.6, 36555.7 
19235.2, 27349.7, 21786.9, 28863, 23098.6, 22992.9, 23507.8, 23081.4, 22283.2, 23480.5, 26542.3, 36557.7 
24519.1, 29641.9, 24752.3, 22259.4, 22196.5, 22129.8, 22424, 22458.5, 22874.7, 23277.5, 26570.1, 36537.1 
25430.3, 21898.4, 28508.2, 22469.7, 21316.4, 21477.6, 23338.6, 22503.4, 23565.1, 23054.3, 26339.1, 36482.6 
29870.5, 29052.7, 23778.2, 23456.2, 21701.4, 22044.5, 23277.4, 22863.1, 23451.8, 23375.2, 26488.1, 36549.8 
24653, 23671.5, 24079, 22631.1, 25318.4, 23601.9, 23529.4, 22121.6, 23547.8, 23358.9, 26521.4, 36557.2 
23720.7, 24107.7, 22301.5, 26904.5, 24258.5, 22169.5, 24062.5, 23016.9, 22708.7, 23077.1, 26690.2, 36662.1 
16130.1, 24719.2, 24300.4, 22764.7, 21459.1, 22418, 21526, 23108, 23280.5, 23299.1, 26416.1, 36569.5 
24626.1, 16040.4, 24140.1, 20501.2, 23859.1, 22379.5, 22686.2, 22819, 22842.9, 23184.7, 26592.3, 36545.2 
18091, 17108.6, 16653.9, 21312.5, 21705.5, 23486.9, 24175.6, 23037, 22543.6, 23431.4, 26533.4, 36536.2 
21465.9, 24618.4, 20784.2, 25737.8, 28826, 25284.5, 24121.9, 23101.8, 22714.8, 23126, 26408.7, 36580.1 
22139.3, 17771.6, 22291, 23711.5, 24616.4, 23781.4, 23959.5, 23166.2, 23574.9, 23300.8, 26512.3, 36573.7 
23301.6, 19344.4, 21612.6, 23077.4, 23085.5, 23408.7, 23253.6, 22739.9, 23628.7, 22944.7, 26394, 36503 
33184.6, 18379.1, 24053.2, 29502.8, 22764.9, 24358.2, 25488.9, 22468.9, 22763.3, 23186.4, 26462.5, 36617.1 
25778.7, 26759, 23226.8, 25705.9, 20526.6, 22849.7, 22555.6, 22707.5, 22827.8, 23623.8, 26351.2, 36554.7 
